Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
50,Spring,CL118,Programming Fundamentals - Lab,1,F,0,1,1.59,2
50,Spring,EL227,Digital Logic Design - Lab,1,D,1,1,1.59,2
50,Unknown,SS122,English Composition,3,UK,-1,0,0,0
50,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
50,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
50,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
50,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
50,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
50,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
50,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
50,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
50,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
50,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
50,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
50,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
51,Fall,CS118,Programming Fundamentals,3,D,1,2.37,2.37,0
51,Fall,EE182,Basic Electronics,3,C,2,2.37,2.37,0
51,Fall,MT119,Calculus and Analytical Geometry,3,B,3,2.37,2.37,0
51,Fall,CL118,Programming Fundamentals - Lab,1,D+,1.33,2.37,2.37,0
51,Fall,MT104,Linear Algebra,3,B-,2.67,2.37,2.37,0
51,Fall,SL101,English Language Lab,1,B,3,2.37,2.37,0
51,Fall,SS101,English Language,3,B+,3.33,2.37,2.37,0
51,Fall,CS201,Data Structures,3,F,0,2.44,2.81,0
51,Spring,CL118,Programming Fundamentals - Lab,1,B-,2.67,2.94,2.87,0
51,Spring,EE227,Digital Logic Design,3,C+,2.33,2.94,2.87,0
51,Spring,SS111,Islamic and Religious Studies,3,A-,3.67,2.94,2.87,0
51,Spring,SS122,English Composition,3,B,3,2.94,2.87,0
51,Spring,CS118,Programming Fundamentals,3,B-,2.67,2.94,2.87,0
51,Spring,EL227,Digital Logic Design - Lab,1,D+,1.33,2.94,2.87,0
51,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,2.94,2.87,0
51,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
51,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
51,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
51,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
51,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
51,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
51,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
51,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
51,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
52,Fall,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
52,Fall,SL101,English Language Lab,1,L1,0,0,0,1
52,Fall,EE182,Basic Electronics,3,L1,0,0,0,1
52,Fall,SS101,English Language,3,L1,0,0,0,1
52,Fall,MT104,Linear Algebra,3,L1,0,0,0,1
52,Fall,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
52,Fall,CS118,Programming Fundamentals,3,L1,0,0,0,1
52,Unknown,SS122,English Composition,3,UK,-1,0,0,0
52,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
52,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
52,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
52,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
52,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
52,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
52,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
52,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
52,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
52,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
52,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
52,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
52,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
52,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
53,Fall,MT119,Calculus and Analytical Geometry,3,D,1,1.84,1.84,2
53,Fall,CL118,Programming Fundamentals - Lab,1,B,3,1.84,1.84,2
53,Fall,SS101,English Language,3,A-,3.67,1.84,1.84,2
53,Fall,EE182,Basic Electronics,3,D,1,1.84,1.84,2
53,Fall,CS118,Programming Fundamentals,3,C-,1.67,1.84,1.84,2
53,Fall,MT104,Linear Algebra,3,D,1,1.84,1.84,2
53,Fall,SL101,English Language Lab,1,B+,3.33,1.84,1.84,2
53,Spring,CS217,Computer Programming,3,W,0,2.13,1.95,2
53,Spring,CL217,Computer Programming Lab,1,W,0,2.13,1.95,2
53,Spring,EL227,Digital Logic Design - Lab,1,D+,1.33,2.13,1.95,2
53,Spring,SS122,English Composition,3,B,3,2.13,1.95,2
53,Spring,EE227,Digital Logic Design,3,D,1,2.13,1.95,2
53,Spring,SS113,Pakistan Studies,3,B-,2.67,2.13,1.95,2
53,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
53,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
53,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
53,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
53,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
53,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
53,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
53,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
53,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
54,Fall,MT104,Linear Algebra,3,B+,3.33,3.41,3.41,0
54,Fall,SS101,English Language,3,A,4,3.41,3.41,0
54,Fall,CL118,Programming Fundamentals - Lab,1,B+,3.33,3.41,3.41,0
54,Fall,SL101,English Language Lab,1,A-,3.67,3.41,3.41,0
54,Fall,MT119,Calculus and Analytical Geometry,3,A-,3.67,3.41,3.41,0
54,Fall,EE182,Basic Electronics,3,B,3,3.41,3.41,0
54,Fall,CS118,Programming Fundamentals,3,B,3,3.41,3.41,0
54,Fall,CS201,Data Structures,3,B-,2.67,2.98,3.2,0
54,Spring,EL227,Digital Logic Design - Lab,1,B+,3.33,3.2,3.3,0
54,Spring,CS217,Computer Programming,3,B,3,3.2,3.3,0
54,Spring,SS122,English Composition,3,B,3,3.2,3.3,0
54,Spring,CL217,Computer Programming Lab,1,B,3,3.2,3.3,0
54,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,3.2,3.3,0
54,Spring,EE227,Digital Logic Design,3,B-,2.67,3.2,3.3,0
54,Spring,SS113,Pakistan Studies,3,A-,3.67,3.2,3.3,0
54,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
54,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
54,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
54,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
54,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
54,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
54,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
55,Fall,CS118,Programming Fundamentals,3,B,3,2.41,2.41,0
55,Fall,EE182,Basic Electronics,3,C+,2.33,2.41,2.41,0
55,Fall,SS101,English Language,3,C,2,2.41,2.41,0
55,Fall,MT104,Linear Algebra,3,C+,2.33,2.41,2.41,0
55,Fall,MT119,Calculus and Analytical Geometry,3,C-,1.67,2.41,2.41,0
55,Fall,SL101,English Language Lab,1,B,3,2.41,2.41,0
55,Fall,CL118,Programming Fundamentals - Lab,1,A,4,2.41,2.41,0
55,Fall,CS201,Data Structures,3,B+,3.33,2.73,2.63,0
55,Spring,EE227,Digital Logic Design,3,B,3,2.75,2.58,0
55,Spring,SS113,Pakistan Studies,3,C-,1.67,2.75,2.58,0
55,Spring,CS217,Computer Programming,3,B,3,2.75,2.58,0
55,Spring,SS122,English Composition,3,C,2,2.75,2.58,0
55,Spring,CL217,Computer Programming Lab,1,A-,3.67,2.75,2.58,0
55,Spring,EL227,Digital Logic Design - Lab,1,A,4,2.75,2.58,0
55,Spring,MT224,Differential Equations (Cal II),3,B+,3.33,2.75,2.58,0
55,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
55,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
55,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
55,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
55,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
55,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
55,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
56,Fall,MT119,Calculus and Analytical Geometry,3,C+,2.33,2.31,2.31,0
56,Fall,EE182,Basic Electronics,3,C,2,2.31,2.31,0
56,Fall,SL101,English Language Lab,1,B,3,2.31,2.31,0
56,Fall,MT104,Linear Algebra,3,B-,2.67,2.31,2.31,0
56,Fall,CS118,Programming Fundamentals,3,C+,2.33,2.31,2.31,0
56,Fall,SS101,English Language,3,C,2,2.31,2.31,0
56,Fall,CL118,Programming Fundamentals - Lab,1,C+,2.33,2.31,2.31,0
56,Fall,CS201,Data Structures,3,A-,3.67,2.9,2.53,0
56,Spring,CL217,Computer Programming Lab,1,A,4,2.41,2.36,0
56,Spring,MT224,Differential Equations (Cal II),3,B,3,2.41,2.36,0
56,Spring,CS217,Computer Programming,3,B-,2.67,2.41,2.36,0
56,Spring,SS122,English Composition,3,D,1,2.41,2.36,0
56,Spring,EE227,Digital Logic Design,3,C,2,2.41,2.36,0
56,Spring,EL227,Digital Logic Design - Lab,1,A,4,2.41,2.36,0
56,Spring,SS111,Islamic and Religious Studies,3,C+,2.33,2.41,2.36,0
56,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
56,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
56,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
56,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
56,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
56,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
